"Emissions" "Emissions.sorted." "Bins" "Bins2"
15.8 6.2 8.99 7.99
26.4 7.7 11.99 10.99
17.3 8.3 14.99 13.99
11.2 9 17.99 16.99
23.9 9.4 20.99 19.99
24.8 9.8 23.99 22.99
18.7 10.5 26.99 25.99
13.9 10.7 NA NA
9 11 NA NA
13.2 11.2 NA NA
22.7 11.8 NA NA
9.8 12.3 NA NA
6.2 12.8 NA NA
14.7 13.2 NA NA
17.5 13.3 NA NA
26.1 13.5 NA NA
12.8 13.9 NA NA
28.6 14.4 NA NA
17.6 14.5 NA NA
23.7 14.7 NA NA
26.8 15.2 NA NA
22.7 15.5 NA NA
18 15.8 NA NA
20.5 15.9 NA NA
11 16.2 NA NA
20.9 16.7 NA NA
15.5 16.9 NA NA
19.4 17 NA NA
16.7 17.3 NA NA
10.7 17.5 NA NA
19.1 17.6 NA NA
15.2 17.9 NA NA
22.9 18 NA NA
26.6 18 NA NA
20.4 18.1 NA NA
21.4 18.1 NA NA
19.2 18.4 NA NA
21.6 18.5 NA NA
16.9 18.7 NA NA
19 19 NA NA
18.5 19.1 NA NA
23 19.2 NA NA
24.6 19.3 NA NA
20.1 19.4 NA NA
16.2 19.4 NA NA
18 20 NA NA
7.7 20.1 NA NA
13.5 20.1 NA NA
23.5 20.4 NA NA
14.5 20.5 NA NA
14.4 20.8 NA NA
29.6 20.9 NA NA
19.4 21.4 NA NA
17 21.6 NA NA
20.8 21.9 NA NA
24.3 22.3 NA NA
22.5 22.5 NA NA
24.6 22.7 NA NA
18.4 22.7 NA NA
18.1 22.9 NA NA
8.3 23 NA NA
21.9 23.5 NA NA
12.3 23.7 NA NA
22.3 23.9 NA NA
13.3 24.1 NA NA
11.8 24.3 NA NA
19.3 24.6 NA NA
20 24.6 NA NA
25.7 24.8 NA NA
31.8 25.7 NA NA
25.9 25.9 NA NA
10.5 26.1 NA NA
15.9 26.4 NA NA
27.5 26.6 NA NA
18.1 26.8 NA NA
17.9 27.5 NA NA
9.4 28.5 NA NA
24.1 28.6 NA NA
20.1 29.6 NA NA
28.5 31.8 NA NA
